,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,8,Jarrett Allen,C,24,CLE,68,2220,19.9,.670,.016,.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,.205,1.3,1.0,2.4,2.4
1,217,Al Horford,C,36,BOS,63,1922,13.8,.631,.678,.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,.157,1.6,1.7,3.3,2.5
2,234,Isaiah Jackson,C,21,IND,63,1042,17.5,.595,.044,.459,12.1,18.0,15.0,7.0,1.4,7.7,11.8,17.4,1.5,1.2,2.7,.124,-1.7,0.9,-0.8,0.3
3,265,Walker Kessler,C,21,UTA,74,1703,21.5,.702,.007,.384,14.9,24.4,19.7,5.7,0.7,8.6,10.7,13.3,4.6,2.5,7.1,.200,1.4,1.5,2.9,2.1
4,275,Luke Kornet,C,27,BOS,69,804,16.7,.697,.076,.229,11.9,14.8,13.4,9.1,0.7,4.9,11.8,11.5,2.1,1.2,3.3,.198,-0.4,1.3,1.0,0.6
5,296,Kevon Looney,C,26,GSW,82,1958,17.8,.639,.003,.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,.212,0.9,1.3,2.1,2.0
6,297,Brook Lopez,C,34,MIL,78,2373,18.4,.630,.405,.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,.161,0.8,1.3,2.1,2.5
7,356,Larry Nance Jr.,C,30,NOP,65,1381,16.0,.649,.138,.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,.171,0.0,2.0,2.0,1.4
8,416,Mitchell Robinson,C,24,NYK,59,1591,18.9,.652,.000,.436,18.4,20.0,19.2,4.5,1.7,6.5,10.9,10.1,4.0,2.6,6.5,.197,1.0,1.4,2.4,1.7
9,474,Xavier Tillman Sr.,C,24,MEM,61,1180,17.3,.621,.049,.291,10.9,16.7,13.8,10.9,2.3,2.2,11.3,13.7,2.3,1.9,4.2,.171,0.3,1.7,1.9,1.2
