Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Nikola Jokic,2022-23,DEN,Post Scorer,"2,323",C,28,7.31,5.55,1.76,13.8,5.68,4.5,1.17
Giannis Antetokounmpo,2022-23,MIL,Shot Creator,"2,024",PF,28,5.87,4.73,1.14,10.4,5.33,4.11,1.22
Joel Embiid,2022-23,PHI,Shot Creator,"2,284",C,29,5.86,3.78,2.08,11.7,5.83,4.61,1.22
Jimmy Butler,2022-23,MIA,Shot Creator,"2,138",SF,33,5.01,4.27,0.74,9.9,4.32,3.59,0.73
Anthony Davis,2022-23,LAL,Shot Creator,"1,905",C,30,4.9,2.21,2.69,8.7,4.16,2.38,1.77
Jaren Jackson Jr.,2022-23,MEM,Versatile Big,"1,787",C,23,4.52,1.11,3.41,7.8,3.77,0.65,3.12
Jayson Tatum,2022-23,BOS,Shot Creator,"2,732",PF,25,4.42,4.29,0.13,11.7,4.98,4.16,0.82
Donovan Mitchell,2022-23,CLE,Primary Ball Handler,"2,432",SG,26,4.31,3.58,0.73,10.3,3.3,3.42,-0.11
Luka Doncic,2022-23,DAL,Shot Creator,"2,391",PG,24,4.22,5.03,-0.81,10,5.73,5.9,-0.17
LeBron James,2022-23,LAL,Shot Creator,"1,954",PF,38,4.11,3.86,0.25,8,2.98,3.23,-0.26
Kawhi Leonard,2022-23,LAC,Shot Creator,"1,748",SF,31,4.05,3.01,1.04,7.1,3.07,2.74,0.33
Nic Claxton,2022-23,BRK,Roll + Cut Big,"2,271",C,23,3.85,0.64,3.21,9,2.56,-0.23,2.78
Ja Morant,2022-23,MEM,Slasher,"1,948",PG,23,3.81,3.73,0.09,7.7,3.14,3.42,-0.29
Shai Gilgeous-Alexander,2022-23,OKC,Shot Creator,"2,416",PG,24,3.79,3.58,0.21,9.5,3.52,3.24,0.28
Damian Lillard,2022-23,POR,Shot Creator,"2,107",PG,32,3.73,5.99,-2.26,8.2,3.48,5.52,-2.04
James Harden,2022-23,PHI,Shot Creator,"2,135",PG,33,3.59,3.45,0.14,8.1,4.19,3.86,0.33
Stephen Curry,2022-23,GSW,Primary Ball Handler,"1,941",PG,35,3.59,4.06,-0.47,7.4,3.57,4.25,-0.68
Jrue Holiday,2022-23,MIL,Primary Ball Handler,"2,183",PG,32,3.47,1.88,1.58,8.1,2.13,1.87,0.27
Kevin Durant,2022-23,BRK/PHO,Shot Creator,"1,672",SF,34,3.38,2.65,0.73,6.1,2.6,2.49,0.11
Fred VanVleet,2022-23,TOR,Primary Ball Handler,"2,535",PG,29,3.25,2.98,0.26,9.1,2.21,1.8,0.4
Tyrese Haliburton,2022-23,IND,Primary Ball Handler,"1,883",PG,23,3.22,3.49,-0.26,6.7,3.08,3.81,-0.73
Paul George,2022-23,LAC,Shot Creator,"1,939",SG,32,3.15,2.14,1.02,6.8,2.17,2.14,0.03
